,date,vues,type,vente par tranche,promesse de vente,type location,promotion,type bien,avancement,contact,haut standing,ville,quartier,residence,proximite,superficie,etage,pieces,plusieurs logements,exposition exterieur,caracteristiques interieur,commodites,prix,paiement par,proximité,étage,pièces,commodités,conditions de paiement
0,15/05/2023 19:00:11,10556,vente,False,False,,True,villa,fini,promotion immobiliere nbn,True,oran,canastel,,"['plage', 'centre-ville']",[375],r+2,,False,"['sud', 'ouest']","['climatisation', 'cheminee']","['garage', 'jardin']",null,,,,,,
0,07/05/2023 14:30:17,3758,vente,True,False,,True,duplex,semi fini,my house immo,False,alger,bordj el kiffan,,"['lieux de loisirs', 'detente']",['150'],,4,False,,,"['parking', 'ascenseur']",20250000,,,,,,
0,10/05/2023 10:14:15,444,location,,,,,appartement,fini,agence mt immobilier,False,alger,ouled fayet,cic3,"['ooredoo', 'autoroute']",[140],"['rdc', '1er etage']",4,False,"['ensoleille', 'bien']","['cuisine equipee', 'grand balcon']","['ascenseur', 'climatisation']",110000,12 mois,,,,,
0,16/05/2023 12:45:11,269,vente,True,False,,True,appartement,fini,bati immo,True,alger,bordj el kiffan,residence fermee,"['route principale', 'tous commodites']",['113.3'],2,4,False,,"['bonne finition', 'immeuble']","['service gardinage', 'ascenseur']",null,,,,,,
0,16/05/2023 09:45:26,4805,vente,False,False,,True,villa,fini,agence immobiliere kouba,True,alger,birkhadem,,"['ecole', 'supermarche']",[600],2,7,False,"['sud', 'ouest']","['cheminee', 'climatisation']","['garage', 'jardin']",90000000,,,,,,
0,16/05/2023 11:50:00,802,location,,,,,appartement,fini,agence mt immobilier,False,alger,ouled fayet,cic3,['ooredoo'],[120],2,4,False,,"['meuble', 'clôture']","['box', 'garage']",110000,12 mois,,,,,
0,16/05/2023 13:59:04,5536,vente,True,True,,True,appartement,fini,primat promotion,True,alger,ain benian,petite promotion immobiliere,"['mer', 'quartier residentiel']",['159'],3,4,False,"['pierre naturelle', 'ardoise']","['parquet', 'porcelaine']","['parking sous-sol', 'ascenseurs']",null,,,,,,
0,16/05/2023 17:19:20,376,vente,False,False,,False,villa,fini,agence afak,True,alger,khraissia,,"['transport', 'commerces']",[180],r+2,11,False,"['sud', 'ouest']","['cheminee', 'terrasse']","['garage', 'jardin']",null,,,,,,
0,16/05/2023 12:46:58,7079,vente,True,False,,False,appartement,fini,luxury immobilier,True,alger,douera,residence haut standing douera,['axes routiers'],['109'],2.3,3.4,False,,['2 façades'],"['ascenseur', 'parking sous-sol']",null,,,,,,
0,06/05/2023 23:00:32,1044,vente,False,True,,False,appartement,fini,bir mourad rais,True,alger,bir mourad rais,résidence,"['commodités', 'promenade']",[83.67],19,4,False,,"['hall', 'salle à manger']","['ascenseur', 'parking']",19000000,,,,,,
0,14/05/2023 11:56:26,425,vente,True,False,,True,appartement,fini,imtilak immo,True,alger,bordj el kiffan,,"['commerces', 'transports']",['113'],2.5,3.4,False,"['sud', 'est']","['climatisation', 'chauffage']","['ascenseur', 'parking']",20000000,,,,,,
0,16/05/2023 11:43:48,699,vente,True,True,,True,appartement,en cours,ki mod,True,alger,bordj el kiffan,résidence fermée et gardiennée 24h/24,"['aéroport', 'tramway']",[83.98],3.5,3,False,,"['semi-prêt', 'transformable']","['strategique', 'proche']",11500000,,,,,,
0,15/05/2023 13:59:48,616,vente,True,False,,True,appartement,semi fini,gmbp,False,alger,bordj el kiffan,,"['tramway', 'plage']",[45],6,2,False,,"['open space', 'modifiable']","['ascenseur', 'interphone']",5600000,,,,,,
0,12/05/2023 19:00:09,436,vente,,,,True,villa,fini,agence immobiliere carrefour agree par l'etat,True,blida,guerrouaou,,"['hamoud', 'boualam']",['440'],r+1,9,False,,"['jardin', 'terrasse']",['garage'],56000000,,,,,,
0,16/05/2023 17:22:41,582,vente,False,False,,False,villa,fini,,True,ain defla,miliana,,"['route nationale', 'entree ville']",[236],r+1,,False,,"['rangement', 'lumineux']",['garage'],null,,,,,,
0,16/05/2023 17:56:21,12786,location,,,par mois,False,appartement,fini,immo express cheraga,False,alger,cheraga,les jardins,"['commerces', 'transports']",['118'],4,3,False,"['calme', 'lumineux']","['spacieux', 'equipe']","['meuble', 'garage']",140000,12 mois,,,,,
0,16/05/2023 16:30:11,61059,vente,True,"['promotion immobiliere', 'acte notarie', 'livret foncier']",,,appartement,fini,bf investment group,False,blida,ouled yaich cheraga,none,"['autoroute', 'universite']","['48', '100']",,3,True,,"['chauffage central', 'interphone']","['place de parc exterieure', ""reservoir d'eau""]",10000,,,,,,
0,16/05/2023 08:31:32,300,vente,True,True,,True,appartement,fini,cle home,True,alger,bordj el kiffan,,"['commerce', 'transport']",[113.3],2,4,False,"['double', 'façade']","['finition', 'moderne']","['interphone', 'surveillance']",22000000,,,,,,
0,05/03/2023 07:44:33,728,location,,,,False,appartement,fini,none,False,alger,el biar,none,"['centre ville', 'administrations']",[88],rez de chaussee,03,False,"boulevard, parking securise","['bon etat', 'balcon']","['commerces', 'bureau']",70000,12 mois,,,,,promesse de vente possible
0,04/05/2023 09:42:24,8620,vente,True,True,,True,appartement,fini,aymen promotion / chaibi mohamed,True,alger,el achour,houche chaouche,"['commodites', 'environnement']",['100'],4,4,False,"['lumineux', 'ensoleille']","['moderne', 'fonctionnel']","['parking', 'ascenseur']",null,,,,,,
0,16/05/2023 16:15:10,762,vente,False,False,,True,studio,semi fini,bati immo,False,alger,bordj el kiffan,,"['commodites', 'parking']",[36],2,,False,,"['ascenseur', 'interphone']",['bâche à eau'],4500000,,,,,,
0,14/05/2023 12:23:13,6797,vente,False,False,,True,appartement,semi fini,immobilier 2022,False,blida,halouyia,none,"['villa', 'quartier']",[150],4,4,False,,"['individuelle', 'semi fini']",['garage'],95000,,,,,,
0,02/05/2023 09:24:29,1912,location,,,,False,appartement,fini,promotion immobiliere bkamel,False,alger,bouzareah,residence,"['commerces', 'transports']",['75'],3,3,False,"['lumineux', 'ensoleille']","['propre', 'equipe']","['meuble', 'climatise']",45000000,,,,,,
0,04/05/2023 09:42:24,,vente,True,True,,True,appartement,fini,aymen promotion / chaibi mohamed,True,alger,birkhadem,citrine de les vergers,"['axe autoroutier', 'infrastructures scolaires']",[127],1,4,False,,"['suite parentale', 'cuisine moderne']","['ascenseurs', 'parking en sous-sol']",null,,,,,,
0,16/05/2023 17:15:10,264,vente,True,True,,True,appartement,fini,my house immo,False,alger,bordj el kiffan,,"['ascenseur', 'vue degagee']",[113.3],2,4,False,,"['clôture', 'sans vis-à-vis']",['meuble'],22000000,,,,,,
0,06/04/2023 09:09:58,1921,vente,True,False,,True,appartement,fini,unic properties,True,alger,cheraga,dar diaf,"['parking', 'ascenseur']",['246'],4e,5,False,,"['cuisine equipee', 'dressing']","['garage', 'domotique']",null,,,,,,
0,16/05/2023 12:46:58,4970,vente,False,False,,False,villa,fini,luxury immobilier,True,alger,douera,,"['hammam', 'terrasse']",[200],,7,False,"['ensoleille', 'calme']","['vue degagee', 'pas de vis à vis']",['garage'],40000,,,,,,
0,16/05/2023 08:01:21,433,vente,True,False,,True,appartement,semi fini,gmbp,False,alger,bordj el kiffan,,"['tramway', 'plage']",['87'],5,3,False,,"['cuisine', 'sejour']","['ascenseur', 'interphone']",11750000,,,,,,
0,16/05/2023 15:06:38,2953,vente,True,False,,True,appartement,semi-fini,new house,False,alger,bordj el kiffan,cite clôturee,"['tramway', 'ecole']",[93],1 2 5,4,False,,"['jardin', 'garage']","['mer', 'aeroport']",null,,,,,,
0,16/05/2023 16:29:55,5107,vente,True,False,,True,appartement,fini,plaza immo,True,alger,bordj el kiffan,,"['route principale', 'sntr']",[113.3],6,4,False,,"['bloc finit', 'ascenseur']","['interphone', 'camera de surveillance']",null,,,,,,
0,12/05/2023 19:59:46,604,vente,True,False,,False,local,semi fini,baytelkol immo,False,alger,bordj el kiffan,,"['tramway', 'plage']","[28, 23, 16, 18, 20, 22, 38, 36, 60, 50, 46, 54, 72, 66, 62, 39]",,1,False,,"['rideau electrique', 'semi fini']","['eau', 'gaz']",4000000,,,,,,
0,16/05/2023 13:59:04,48521,vente,True,,,True,appartement,fini,primat promotion,True,alger,el achour,résidence l'atrium,,"[80, 200]",,,True,,"['architecture contemporaine', ""matériaux d'importation""]",,null,,"['axe principal', 'sebala']",,,"['parking sous-sol', 'ascenseurs']",
0,15/05/2023 19:00:11,10556,vente,False,False,,True,villa,fini,promotion immobiliere nbn,True,oran,canastel,,"['plage', 'centre-ville']",[375],r+2,,False,"['sud', 'ouest']","['climatisation', 'cheminee']","['garage', 'jardin']",null,,,,,,
0,16/05/2023 17:22:41,582,vente,False,False,,False,villa,fini,,True,ain defla,miliana,,"['route nationale', 'entree ville']",[236],r+1,,False,,"['rangement', 'lumineux']",['garage'],null,,,,,,
0,10/05/2023 10:14:15,445,location,,,,,appartement,fini,agence mt immobilier,False,alger,ouled fayet,cic3,"['ooredoo', 'autoroute']",['140'],"['rdc', '1er etage']",f4,False,"['ensoleille', 'sans vis-à-vis']","['climatisation', 'chauffage centralise']","['box de stationnement', 'ascenseur']",110000,12 mois,,,,,
0,16/05/2023 12:46:58,7080,vente,True,False,,False,appartement,fini,luxury immobilier,True,alger,douera,residence haut standing douera,['axes routiers'],['109'],2.3,3.4,False,,['2 façades'],"['ascenseur', 'parking sous-sol']",null,,,,,,
0,08/05/2023 16:46:55,633,vente,,,,False,appartement,neuf,,True,alger,birkhadem,la belle colline,"['ecoles', 'transport']",['120'],1,4,False,,"['double vitrage', 'suite parentale']","['chauffage central', 'climatiseurs']",30000000,,,,,,
0,16/05/2023 12:45:11,269,vente,True,False,,True,appartement,fini,bati immo,True,alger,bordj el kiffan,residence fermee,"['route principale', 'tous commodites']",['113.3'],2,4,False,,"['bonne finition', 'immeuble']","['service gardinage', 'ascenseur']",null,,,,,,
0,04/05/2023 09:42:24,8621,vente,True,True,,True,appartement,fini,aymen promotion / chaibi mohamed,True,alger,el achour,houche chaouche,"['commodites', 'environnement']",['100'],4,4,False,"['lumineux', 'ensoleille']","['moderne', 'confortable']","['parking', 'ascenseur']",null,,,,,,
0,07/05/2023 14:30:17,3761,vente,True,False,,True,duplex,semi fini,my house immo,False,alger,bordj el kiffan,,"['lieux de loisirs', 'detente']",['150'],,4,False,,,"['parking', 'ascenseur']",20250000,,,,,,
0,16/05/2023 16:29:55,3771,vente,True,False,,True,appartement,semi finit,plaza immo,False,alger,bordj el kiffan,,"['ascenseur', 'parking']",[52],"3,5,6",2,False,,"['salon', 'chambre']","['interphone', 'camera de surveillance']",6500000,,,,,,
0,12/05/2023 19:59:46,604,vente,True,False,,False,local,semi fini,baytelkol immo,False,alger,bordj el kiffan,,"['tramway', 'plage']","[28, 23, 16, 18, 20, 22, 38, 36, 60, 50, 46, 54, 72, 66, 62, 39]",,1,False,,"['rideau electrique', 'semi fini']","['eau', 'gaz']",4000000,,,,,,
0,11/05/2023 15:45:10,435,vente,True,True,,True,appartement,fini,warehouse,True,alger,dely brahim,,"['ecoles', 'mosquee']",[104],"1,2,3",4,False,,"['equipe', 'calme']","['jardin', 'aire de jeux']",21000000,,,,,,
0,16/05/2023 13:59:04,11171,vente,True,False,,True,appartement,fini,primat promotion,True,alger,el achour,résidence l'atrium,,['111.50'],,,False,,"['architecture contemporaine', ""matériaux d'importation""]",,null,,"['axe principal', 'sebala']",2,3,"['parking sous-sol', 'ascenseurs']",
0,16/05/2023 10:18:42,721,vente,True,False,,True,appartement,fini,royal immo,False,alger,bordj el kiffan,,"['camera de surveillance', 'box de stationnement']",[84],1/2/3/4/5/6,3,False,,,['bâche à eau'],10000,,,,,,
0,06/04/2023 16:02:36,10749,vente,False,False,,True,appartement,fini,unic properties,True,alger,cheraga,serenite,"['commerces', 'transports']",[None],,,False,"['sud', 'ouest']","['cuisine equipee', 'sanitaires de luxe']","['garage', 'ascenseur']",null,,,,,,
0,16/05/2023 17:19:20,378,vente,False,False,,False,villa,fini,agence afak,True,alger,khraissia,,"['transport', 'commerces']",[180],,11,False,"['sud', 'ouest']","['cheminee', 'terrasse']","['garage', 'jardin']",,,,,,,
0,06/04/2023 09:09:58,1921,vente,True,False,,True,appartement,fini,unic properties,True,alger,cheraga,dar diaf,"['parking', 'ascenseur']",['246'],4e,5,False,,"['cuisine equipee', 'dressing']","['garage', 'domotique']",null,,,,,,
0,16/05/2023 12:46:58,3903,vente,False,True,,True,carcasse,carcasse,luxury immobilier,True,alger,douera,,['toutes commodites'],[247],,,False,,"['ensoleille', 'calme']",['garage'],150000,,,,,,
0,05/03/2023 07:44:33,728,location,,,,False,appartement,fini,none,False,alger,el biar,none,"['centre ville', 'administrations']",[88],rez de chaussee,03,False,"boulevard, parking securise","['bon etat', 'balcon']","['commerces', 'bureau']",70000,12 mois,,,,,promesse de vente possible
0,16/05/2023 12:46:58,4970,vente,False,False,,False,villa,fini,luxury immobilier,True,alger,douera,,"['hammam', 'terrasse']",[200],,7,False,"ensoleille, calme","['vue degagee', 'pas de vis à vis']",['garage'],40000,,,,,,
0,16/05/2023 12:46:58,7080,vente,True,False,,False,appartement,fini,luxury immobilier,True,alger,douera,residence haut standing douera,['axes routiers'],['109'],2.3,3.4,False,,"['2 façades', 'equipements']","['securite', 'ascenseur']",null,,,,,,
0,02/05/2023 09:24:29,1912,location,,,mois,False,appartement,fini,promotion immobiliere bkamel,False,alger,bouzareah,residence calme et securisee,"['commerces', 'transports']",[75],3,3,False,"['ensoleille', 'vue degagee']","['propre', 'equipe']","['meuble', 'climatise']",45000000,,,,,,
0,16/05/2023 13:59:04,5538,vente,True,True,,True,appartement,fini,primat promotion,True,alger,ain benian,null,"['mer', 'residentiel']",['159'],3,4,False,"['pierre naturelle', 'ardoise']","['parquet', 'porcelaine']","['parking sous-sol', 'ascenseurs']",null,,,,,,
0,16/05/2023 13:59:04,5538,vente,True,True,,True,appartement,fini,primat promotion,True,alger,ain benian,null,"['mer', 'residentiel']",['159'],3,4,False,"['pierre naturelle', 'ardoise']","['parquet', 'porcelaine']","['parking sous-sol', 'ascenseurs']",null,,,,,,
0,16/05/2023 08:31:32,301,vente,True,True,,True,appartement,fini,cle home,True,alger,bordj el kiffan,,"['mer', 'commerces']",[113.3],2,4,False,"['double', 'façade']","['finition', 'moderne']","['interphone', 'camera surveillance']",22000000,,,,,,
0,11/05/2023 08:24:33,607,vente,True,False,,True,appartement,semi fini,groupe ahmed soltan,False,alger,bordj el kiffan,,"['transport en commun', 'commerces']","[98, 117]",,4,False,,"['modulable', 'lumineux']","['ascenseur', 'parking']",null,,,,,,
0,06/05/2023 23:00:32,1044,vente,False,True,,False,appartement,fini,bir mourad rais,True,alger,bir mourad rais,résidence,"['commodités', 'promenade']",[83.67],19,4,False,,"['hall', 'salon']","['parking', 'surveillance']",19000000,,,,,,
0,16/05/2023 16:15:10,762,vente,False,False,,True,studio,semi fini,bati immo,False,alger,bordj el kiffan,,"['commodites', 'parking']",[36],2,,False,,"['ascenseur', 'interphone']",['bâche à eau'],4500000,,,,,,
0,16/05/2023 11:50:00,803,location,,,,,appartement,fini,agence mt immobilier,False,alger,ouled fayet,cic3,['ooredoo'],[120],2,4,False,,"['meuble', 'clôture']",['box'],110000,12 mois,,,,,
0,13/05/2023 11:34:52,771,vente,False,True,,False,appartement,fini,coshida,True,alger,dar el beida,residence clôture,"['arrêt bus', 'mosquee']",['80'],rdc,3,False,,"['chauffage central', 'climatisation']",['parking surveille'],null,,,,,,
0,15/05/2023 19:00:11,10558,vente,False,False,,True,villa,fini,promotion immobiliere nbn,True,oran,canastel,,"['plage', 'centre-ville']",[375],r+2,,False,"['sud', 'ouest']","['climatisation', 'cheminee']","['garage', 'jardin']",null,,,,,,
0,16/05/2023 13:59:04,48524,vente,True,False,,True,appartement,fini,primat promotion,True,alger,el achour,residence l'atrium,"['axe principal', 'sebala']","[80, 200]",,,True,pierre naturelle,"['parquet', 'porcelaine']","['parking sous-sol', 'ascenseurs']",null,,,,,,
0,16/05/2023 12:45:11,269,vente,True,False,,True,appartement,fini,bati immo,True,alger,bordj el kiffan,residence fermee,"['route principale', 'tous commodites']",['113.3'],2,4,False,,"['bonne finition', 'immeuble']","['service gardinage', 'ascenseur']",null,,,,,,
0,16/05/2023 11:50:00,803,location,,,,,appartement,fini,agence mt immobilier,False,alger,ouled fayet,cic3,['ooredoo'],[120],2,4,False,,"['meuble', 'clôture']","['box', 'garage']",110000,12 mois,,,,,
0,15/05/2023 19:22:05,874,vente,True,False,,True,appartement,fini,imtilak immo,False,alger,bordj el kiffan,,"['commerces', 'transports']",['52'],2.3,2,False,"['sans vis-à-vis', 'lumineux']","['climatisation', 'balcon']","['ascenseur', 'parking']",6500000,,,,,,
0,11/05/2023 08:24:33,607,vente,True,False,,True,appartement,semi fini,groupe ahmed soltan,False,alger,bordj el kiffan,,"['transport en commun', 'commerces']","[98, 117]",,4,False,,"['modulable', 'lumineux']","['ascenseur', 'parking']",null,,,,,,
0,05/03/2023 07:44:33,728,location,,,,,appartement,fini,none,False,alger,el biar,none,"['centre ville', 'administrations']",[88],rez de chaussee,03,False,"boulevard, parking","['bon etat', 'balcon']","['salle de bain', 'cuisine']",70000,12 mois,,,,,promesse de vente possible
0,04/05/2023 09:42:24,1366,vente,True,False,,False,appartement,fini,aymen promotion / chaibi mohamed,True,alger,draria,les crêtes,"['commodités', 'environnement']",['113'],4,4,False,,"['moderne', 'sécurité']","['parking', 'ascenseurs']",null,,,,,,
0,16/05/2023 13:59:04,11370,vente,True,False,,True,appartement,fini,primat promotion,True,alger,el achour,oued romane,"['calme', 'accessible']",[109.4],1,3,False,"['ensoleille', 'vue degagee']","['moderne', 'spacieux']","['parking sous-sol', 'ascenseurs']",null,,,,,,
0,14/05/2023 12:23:13,6798,vente,False,False,,True,appartement,semi fini,immobilier 2022,False,blida,halouyia,none,"['villa', 'quartier']",[150],4,4,False,,"['individuelle', 'semi fini']",['garage'],95000,,,,,,
0,16/05/2023 17:22:41,582,vente,False,False,,False,villa,fini,,True,ain defla,miliana,,"['route nationale', 'entree ville']",[236],r+1,,False,,"['rangement', 'lumineux']",['garage'],null,,,,,,
0,16/05/2023 15:06:38,2953,vente,True,False,,True,appartement,semi-fini,new house,False,alger,bordj el kiffan,cite clôturee,"['tramway', 'ecole']",[93],1 2 5,4,False,,"['jardin', 'garage']","['mer', 'aeroport']",null,,,,,,
0,16/05/2023 17:15:10,269,vente,True,False,,True,appartement,fini,my house immo,False,alger,bordj el kiffan,,"['commerces', 'transports']",[113.3],2,4,False,"['sans vis-à-vis', 'vue degagee']","['meuble', 'ascenseur']","['clôture', 'vue']",22000000,,,,,,
0,16/05/2023 12:46:58,3903,vente,False,True,,True,carcasse,carcasse,luxury immobilier,True,alger,douera,,"['dkakna', 'toutes commodites']",[247],,,False,ensoleille calme,['terrasse'],['garage'],150000,,,,,,
0,04/05/2023 09:42:24,8622,vente,True,True,,True,appartement,fini,aymen promotion / chaibi mohamed,True,alger,el achour,houche chaouche,"['commodites', 'environnement']",['100'],4,4,False,"['lumineux', 'ensoleille']","['moderne', 'confortable']","['parking', 'ascenseur']",null,,,,,,
0,27/04/2023 17:44:25,577,vente,False,False,,True,appartement,fini,hassan touati,False,setif,,,centre ville,[135],2,4,False,,,['libre de suite'],23000,,,,,,
0,07/05/2023 18:43:47,1120,location,,,,,local,fini,agence mt immobilier,,alger,ouled fayet,,"['oorido', 'commercial']",['50'],0 rdc,4,False,,"['sanitaire', 'surveillance']","['rideau electrique', 'vitrine']",119000,12 mois,,,,,
0,16/05/2023 13:59:04,11171,vente,True,False,,True,appartement,fini,primat promotion,True,alger,el achour,résidence l'atrium,,['111.50'],,,False,"['pierre naturelle', 'ardoise']","['parquet', 'porcelaine']",,null,,"['axe principal', 'sebala']",2,3,"['parking sous-sol', 'ascenseurs']",
